id,title,status,priority,issue_type,assignee,created_at,updated_at
proj-c13,plain,open,2,task,,2026-01-01T10:00:13+00:00,2026-01-01T10:00:13+00:00
proj-c12,a=b,open,2,task,,2026-01-01T10:00:12+00:00,2026-01-01T10:00:12+00:00
proj-c11,"x
",open,2,task,,2026-01-01T10:00:11+00:00,2026-01-01T10:00:11+00:00
proj-c10,"'
x",open,2,task,,2026-01-01T10:00:10+00:00,2026-01-01T10:00:10+00:00
proj-c09,"'	x",open,2,task,,2026-01-01T10:00:09+00:00,2026-01-01T10:00:09+00:00
proj-c08,"'@x",open,2,task,,2026-01-01T10:00:08+00:00,2026-01-01T10:00:08+00:00
proj-c07,"'-x",open,2,task,,2026-01-01T10:00:07+00:00,2026-01-01T10:00:07+00:00
proj-c06,"'+x",open,2,task,,2026-01-01T10:00:06+00:00,2026-01-01T10:00:06+00:00
proj-c05,"'=1+2",open,2,task,,2026-01-01T10:00:05+00:00,2026-01-01T10:00:05+00:00
proj-c04, lead,open,2,task,,2026-01-01T10:00:04+00:00,2026-01-01T10:00:04+00:00
proj-c03,"crhere",open,2,task,,2026-01-01T10:00:03+00:00,2026-01-01T10:00:03+00:00
proj-c02,tab	here,open,2,task,,2026-01-01T10:00:02+00:00,2026-01-01T10:00:02+00:00
proj-c01,"say ""hi""",open,2,task,,2026-01-01T10:00:01+00:00,2026-01-01T10:00:01+00:00
proj-c00,"a,b",open,2,task,,2026-01-01T10:00:00+00:00,2026-01-01T10:00:00+00:00
